"","simulation_id","num_rock_through_net","prob_rock_through_net_mc","car_hit_stat","prob_car_hit_stat_mc","car_hit_even","prob_car_hit_even_mc","car_hit_max","prob_car_hit_max_mc","num_of_years"
"1",1,1702,0.01702,18,0.00018,15,0.00015,37,0.00037,1e+05
"2",2,1614,0.01614,12,0.00012,20,2e-04,36,0.00036,1e+05
"3",3,1561,0.01561,16,0.00016,17,0.00017,32,0.00032,1e+05
"4",4,1638,0.01638,11,0.00011,15,0.00015,29,0.00029,1e+05
"5",5,1657,0.01657,11,0.00011,11,0.00011,32,0.00032,1e+05
"6",6,1517,0.01517,9,9e-05,9,9e-05,25,0.00025,1e+05
"7",7,1594,0.01594,10,1e-04,13,0.00013,26,0.00026,1e+05
"8",8,1589,0.01589,13,0.00013,11,0.00011,26,0.00026,1e+05
"9",9,1644,0.01644,15,0.00015,14,0.00014,32,0.00032,1e+05
"10",10,1687,0.01687,9,9e-05,10,1e-04,24,0.00024,1e+05
"11",11,1509,0.01509,10,1e-04,9,9e-05,19,0.00019,1e+05
"12",12,1558,0.01558,15,0.00015,15,0.00015,30,3e-04,1e+05
"13",13,1584,0.01584,17,0.00017,15,0.00015,36,0.00036,1e+05
"14",14,1649,0.01649,9,9e-05,12,0.00012,26,0.00026,1e+05
"15",15,1600,0.016,16,0.00016,20,2e-04,41,0.00041,1e+05
"16",16,1656,0.01656,14,0.00014,11,0.00011,24,0.00024,1e+05
"17",17,1644,0.01644,13,0.00013,18,0.00018,32,0.00032,1e+05
"18",18,1624,0.01624,9,9e-05,12,0.00012,28,0.00028,1e+05
"19",19,1642,0.01642,10,1e-04,12,0.00012,29,0.00029,1e+05
"20",20,1612,0.01612,10,1e-04,9,9e-05,24,0.00024,1e+05
"21",21,1600,0.016,9,9e-05,11,0.00011,24,0.00024,1e+05
"22",22,1554,0.01554,17,0.00017,15,0.00015,36,0.00036,1e+05
"23",23,1703,0.01703,10,1e-04,14,0.00014,34,0.00034,1e+05
"24",24,1645,0.01645,21,0.00021,21,0.00021,39,0.00039,1e+05
"25",25,1622,0.01622,13,0.00013,17,0.00017,39,0.00039,1e+05
