"","hour","percentile","cars_passing","time_in_danger","prob_car"
"1",0,1.5079676,18.0956112,10.6402193856,0.002955616496
"2",1,0.7122078,8.5464936,5.0253382368,0.001395927288
"3",2,0.4568349,5.4820188,3.2234270544,0.000895396404
"4",3,0.4218365,5.062038,2.976478344,0.00082679954
"5",4,0.9802653,11.7631836,6.9167519568,0.001921319988
"6",5,3.3962469,40.7549628,23.9639181264,0.006656643924
"7",6,9.2227715,110.673258,65.075875704,0.01807663214
"8",7,12.244562,146.934744,86.397629472,0.02399934152
"9",8,11.129274,133.551288,78.528157344,0.02181337704
"10",9,12.008594,144.103128,84.732639264,0.02353684424
"11",10,12.324362,147.892344,86.960698272,0.02415574952
"12",11,14.315715,171.78858,101.01168504,0.0280588014
"13",12,12.916476,154.997712,91.138654656,0.02531629296
"14",13,14.217345,170.60814,100.31758632,0.0278659962
"15",14,13.085911,157.030932,92.334188016,0.02564838556
"16",15,13.937735,167.25282,98.34465816,0.0273179606
"17",16,17.405877,208.870524,122.815868112,0.03411551892
"18",17,19.475513,233.706156,137.419219728,0.03817200548
"19",18,15.637341,187.648092,110.337078096,0.03064918836
"20",19,11.082871,132.994452,78.200737776,0.02172242716
"21",20,7.1404443,85.6853316,50.3829749808,0.013995270828
"22",21,5.6212681,67.4552172,39.6636677136,0.011017685476
"23",22,4.8402908,58.0834896,34.1530918848,0.009486969968
"24",23,2.9978247,35.9738964,21.1526510832,0.005875736412
